epoch accuracy precision recall F1-score       0       1       2       0       1       2       0       1       2
   58   96.914    97.457 97.280   97.294  99.298 100.000  93.072  92.484 100.000  99.357  95.770 100.000  96.112
   59   96.914    97.487 97.278   97.293  99.647 100.000  92.814  92.157 100.000  99.678  95.756 100.000  96.124
   60   96.667    97.269 97.062   97.077  99.293 100.000  92.515  91.830 100.000  99.357  95.416 100.000  95.814
   61   96.790    97.363 97.171   97.185  99.296 100.000  92.793  92.157 100.000  99.357  95.593 100.000  95.963
   62   97.407    97.838 97.716   97.728  99.308 100.000  94.207  93.791 100.000  99.357  96.471 100.000  96.714
   63   97.284    97.742 97.607   97.620  99.306 100.000  93.921  93.464 100.000  99.357  96.296 100.000  96.562
   64   97.654    98.055 97.932   97.944  99.654 100.000  94.512  94.118 100.000  99.678  96.807 100.000  97.027
   65   97.407    97.864 97.714   97.728  99.652 100.000  93.939  93.464 100.000  99.678  96.459 100.000  96.724
   66   97.531    97.935 97.825   97.836  99.310 100.000  94.495  94.118 100.000  99.357  96.644 100.000  96.865
   67   98.148    98.446 98.368   98.378  99.659 100.000  95.679  95.425 100.000  99.678  97.496 100.000  97.638
   68   97.160    97.674 97.496   97.510  99.649 100.000  93.373  92.810 100.000  99.678  96.108 100.000  96.423
   69   97.778    98.152 98.041   98.053  99.655 100.000  94.801  94.444 100.000  99.678  96.980 100.000  97.179
   70   97.778    98.131 98.043   98.053  99.315 100.000  95.077  94.771 100.000  99.357  96.990 100.000  97.170
   71   96.790    97.394 97.170   97.184  99.645 100.000  92.537  91.830 100.000  99.678  95.578 100.000  95.975
   72   97.284    97.769 97.605   97.619  99.650 100.000  93.656  93.137 100.000  99.678  96.284 100.000  96.573
   73   97.654    98.055 97.932   97.944  99.654 100.000  94.512  94.118 100.000  99.678  96.807 100.000  97.027
   74   98.148    98.428 98.370   98.378  99.322 100.000  95.963  95.752 100.000  99.357  97.504 100.000  97.630
   75   98.025    98.347 98.259   98.270  99.658 100.000  95.385  95.098 100.000  99.678  97.324 100.000  97.484
   76   97.778    98.131 98.043   98.053  99.315 100.000  95.077  94.771 100.000  99.357  96.990 100.000  97.170
   77   97.160    97.674 97.496   97.510  99.649 100.000  93.373  92.810 100.000  99.678  96.108 100.000  96.423
   78   97.654    98.055 97.932   97.944  99.654 100.000  94.512  94.118 100.000  99.678  96.807 100.000  97.027
   79   98.148    98.428 98.370   98.378  99.322 100.000  95.963  95.752 100.000  99.357  97.504 100.000  97.630
   80   97.778    98.152 98.041   98.053  99.655 100.000  94.801  94.444 100.000  99.678  96.980 100.000  97.179
   81   97.407    97.864 97.714   97.728  99.652 100.000  93.939  93.464 100.000  99.678  96.459 100.000  96.724
   82   96.667    97.302 97.061   97.076  99.644 100.000  92.262  91.503 100.000  99.678  95.400 100.000  95.827
   83   97.531    97.959 97.823   97.836  99.653 100.000  94.225  93.791 100.000  99.678  96.633 100.000  96.875
   84   97.778    98.152 98.041   98.053  99.655 100.000  94.801  94.444 100.000  99.678  96.980 100.000  97.179
   85   97.654    98.055 97.932   97.944  99.654 100.000  94.512  94.118 100.000  99.678  96.807 100.000  97.027
   86   97.778    98.152 98.041   98.053  99.655 100.000  94.801  94.444 100.000  99.678  96.980 100.000  97.179
   87   97.778    98.152 98.041   98.053  99.655 100.000  94.801  94.444 100.000  99.678  96.980 100.000  97.179
   88   98.025    98.347 98.259   98.270  99.658 100.000  95.385  95.098 100.000  99.678  97.324 100.000  97.484
   89   98.642    98.824 98.807   98.811  99.003 100.000  97.468  97.386 100.000  99.035  98.188 100.000  98.246
   90   98.272    98.529 98.478   98.486  99.324 100.000  96.262  96.078 100.000  99.357  97.674 100.000  97.785
   91   97.654    98.055 97.932   97.944  99.654 100.000  94.512  94.118 100.000  99.678  96.807 100.000  97.027
   92   97.901    98.249 98.150   98.161  99.656 100.000  95.092  94.771 100.000  99.678  97.152 100.000  97.331
   93   98.025    98.347 98.259   98.270  99.658 100.000  95.385  95.098 100.000  99.678  97.324 100.000  97.484
   94   97.778    98.152 98.041   98.053  99.655 100.000  94.801  94.444 100.000  99.678  96.980 100.000  97.179
   95   98.025    98.347 98.259   98.270  99.658 100.000  95.385  95.098 100.000  99.678  97.324 100.000  97.484
   96   97.778    98.152 98.041   98.053  99.655 100.000  94.801  94.444 100.000  99.678  96.980 100.000  97.179
   97   98.148    98.446 98.368   98.378  99.659 100.000  95.679  95.425 100.000  99.678  97.496 100.000  97.638
   98   98.272    98.529 98.478   98.486  99.324 100.000  96.262  96.078 100.000  99.357  97.674 100.000  97.785
   99   98.519    98.731 98.696   98.703  99.329 100.000  96.865  96.732 100.000  99.357  98.013 100.000  98.095
  100   98.148    98.428 98.370   98.378  99.322 100.000  95.963  95.752 100.000  99.357  97.504 100.000  97.630
  101   98.148    98.446 98.368   98.378  99.659 100.000  95.679  95.425 100.000  99.678  97.496 100.000  97.638
  102   97.654    98.055 97.932   97.944  99.654 100.000  94.512  94.118 100.000  99.678  96.807 100.000  97.027
  103   97.654    98.055 97.932   97.944  99.654 100.000  94.512  94.118 100.000  99.678  96.807 100.000  97.027
  104   98.642    98.834 98.805   98.811  99.331 100.000  97.170  97.059 100.000  99.357  98.182 100.000  98.251
  105   98.519    98.731 98.696   98.703  99.329 100.000  96.865  96.732 100.000  99.357  98.013 100.000  98.095
  106   98.148    98.446 98.368   98.378  99.659 100.000  95.679  95.425 100.000  99.678  97.496 100.000  97.638
  107   98.272    98.545 98.477   98.486  99.660 100.000  95.975  95.752 100.000  99.678  97.667 100.000  97.792
  108   97.901    98.212 98.153   98.162  98.983 100.000  95.652  95.425 100.000  99.035  97.171 100.000  97.314
  109   98.395    98.630 98.587   98.595  99.327 100.000  96.562  96.405 100.000  99.357  97.844 100.000  97.940
  110   98.148    98.428 98.370   98.378  99.322 100.000  95.963  95.752 100.000  99.357  97.504 100.000  97.630
  111   98.395    98.630 98.587   98.595  99.327 100.000  96.562  96.405 100.000  99.357  97.844 100.000  97.940
